	NB_Mam	Mam	LG	Codon	JC69	JC69G
B1	0.025839861	0.023718699	0.022321868	0.143912076	0.042347289	0.049813032
B2	0.024214358	0.022150496	0.021558281	0.144240693	0.04189587	0.049097822
B3	0.101942126	0.089329634	0.083094764	0.577202031	0.123132553	0.171310343
B4	0.031570163	0.028768227	0.027524123	0.166712332	0.048252035	0.056722462
B5	0.020649838	0.017767158	0.017062289	0.099740593	0.031259218	0.034884996
B6	0.019668435	0.018326819	0.017480139	0.11258143	0.034414375	0.038802866
B7	0.034387883	0.032659229	0.03153033	0.214653036	0.061281548	0.071802029
B8	0.043917617	0.038737374	0.037246076	0.248368902	0.067404982	0.082084679
B9	0.024061699	0.021685386	0.020606619	0.135934856	0.040118705	0.046670966
B10	0.003250296	0.00285204	0.002829869	0.017355678	0.006873074	0.005636009
B11	0.001075557	0.000987677	0.001061061	0.007598944	0.002905408	0.002026794
B12	0.001667202	0.001573242	0.0015124	0.008192947	0.003386596	0.002673228
B13	0.007572874	0.007246232	0.006803453	0.047405267	0.013870108	0.015493968
B14	0.001079285	0.000938496	0.001009853	0.00681341	0.002698266	0.002106562
B15	0.026120716	0.0249575	0.024562139	0.183240297	0.054008508	0.062540765
B16	0.021004681	0.018822791	0.01817419	0.100329515	0.032793548	0.036594698
B17	0.021195898	0.019706582	0.01885708	0.123463388	0.03754574	0.042184426
B18	0.00864158	0.007218601	0.006925242	0.040076847	0.013074872	0.013993327
B19	0.00980831	0.008966563	0.008632381	0.052872402	0.016605394	0.018242975
B20	0.005749092	0.005385714	0.00520276	0.031204857	0.010118354	0.010862071
B21	0.005272327	0.0049624	0.004673491	0.03133484	0.009907065	0.010714916
B22	0.023977604	0.022178225	0.021491986	0.148189083	0.04344367	0.050840631
B23	0.005642175	0.004808564	0.004604746	0.028394169	0.009274611	0.009860145
B24	0.006203896	0.005394409	0.005191331	0.030602852	0.010008574	0.01063111
B25	0.005500977	0.004166979	0.003973826	0.021675989	0.007192419	0.007608685
B26	0.000386507	0.000344329	0.000353221	0.002002801	0.000779701	0.000702546
B27	0.006264134	0.00573581	0.005479935	0.032483987	0.010406319	0.011255908
B28	0.002183308	0.001933321	0.001885714	0.010664299	0.003590212	0.00377874
B29	0.001271431	0.001091522	0.000948489	0.004619727	0.001530411	0.001608711
B30	0.000569332	0.000563568	0.000592813	0.002500908	0.000831879	0.000890795
B31	0.000472162	0.000418007	0.000436986	0.001745039	0.000583398	0.000623214
B32	0.000159037	0.000149979	0.000159045	0.000765258	0.000258247	0.0002643
B33	0.000545987	0.000538568	0.000500607	0.003260322	0.001101223	0.001156758
B34	0.001772212	0.001478627	0.001367729	0.007478708	0.002476851	0.002620081
B35	0.001389009	0.00121085	0.001161573	0.006059467	0.001996773	0.002111608
B36	0.00228091	0.002104	0.001887022	0.008656643	0.002844988	0.003030252
B37	0.000215624	0.000216555	0.000215716	0.001040134	0.000332717	0.00035067
B38	0.000237739	0.000233288	0.000232032	0.001140607	0.000373413	0.000379535
B39	0.00039017	0.000358809	0.000350301	0.002735231	0.000909101	0.000949249
B40	0.000798499	0.000739945	0.000798864	0.004713144	0.001556866	0.00162099
B41	0.001951442	0.001759058	0.001704661	0.009750115	0.003269186	0.003463241
B42	0.002684106	0.002429006	0.002411483	0.011355069	0.003787395	0.004005427
B43	0.000925507	0.000870939	0.000827452	0.005379953	0.001792679	0.001910288
B44	0.002832754	0.002655974	0.002556228	0.017317433	0.005671521	0.006013317
B45	0.005728283	0.004786702	0.004466754	0.022265895	0.007327218	0.007894018
B46	0.005747702	0.004507288	0.004112733	0.020283698	0.006701716	0.007188649
B47	0.003334627	0.002689913	0.002347386	0.011047862	0.003659592	0.003880895
B48	0.001216099	0.001047018	0.000990032	0.005298899	0.001795408	0.001878505
