Branch	Sociality	Diurnality	Reproductive Seasonality	Arboreality	Monogamous	Male Larger	Carnivory	Herbivory	Omnivory	Insectivory
B1	0	0	0.5	0	0	1	0	0	1	0.5
B2	0	0	0	0	0	1	1	0	0	0.5
B3	0.782595548	0.062211339	0.004134869	0.070693082	0.013000188	0.582674365	0.133501867	0.158320636	0.116296208	0.018227938
B4	0	0	0	0	0	1	1	0	0	1
B5	1	0.5	1	0	0	1	0	1	0	0
B6	0	0	0	0	0	1	1	0	0	1
B7	1	0	0	0	1	0	1	0	0	1
B8	1	0	0	0	1	0	1	0	0	1
B9	0	0	1	0	0	0	1	0	0	1
B10	0.707380877	0.206276033	0.003320748	0.437298834	0.019268034	0.640250918	0.283480421	0.197265278	0.461525304	0.969057978
B11	0.886183659	0.194243108	0.041896471	0.089807528	0.11582029	0.09877203	0.097323786	0.631425267	0.07357483	0.10302224
B12	0.828769585	0.140568697	0.926460469	0.110853484	0.058786378	0.435600057	0.143688445	0.660762776	0.013519511	0.923110247
B13	0.830210484	0.203353975	0.061182215	0.050689096	0.060356854	0.472342267	0.284469872	0.222121753	0.35956162	0.591594194
B14	0.787202746	0.165592919	0.952097948	0.274088329	0.015105185	0.335986883	0.824427784	0.319854498	0.446822931	0.858921594
B15	0	1	1	1	1	1	0	0	1	0.5
B16	0	0	1	1	0	0	0	1	0	0
B17	0	0	0	1	0	1	0	0	1	1
B18	1	1	0	1	0	0	0	1	0	0
B19	1	0	0	0	0	0	1	0	0	1
B20	0.730376288	0.308774416	0.1863261	0.229688408	0.068323904	0.691275329	0.167227261	0.516817714	0.043266716	0.029421969
B21	0.603068674	0.108056549	0.003559665	0.100237944	0.099176488	0.633142686	0.35830122	0.298695022	0.26793671	0.17385813
B22	1	0	1	1	1	0	1	0	0	1
B23	1	1	0	1	0	1	0	0	1	0.5
B24	1	1	1	1	1	1	0	1	0	0.5
B25	1	0	1	1	1	0	0	1	0	0.5
B26	0.257259186	0.082551186	0.999968916	0.915178506	0.014915918	0.687172578	0.229936654	0.367289919	0.009481472	0.023690738
