	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	B101	B102	B103	B104	B105	B106	B107	B108	B109	B110	B111	B112	B113	B114	B115	B116	B117	B118	B119	B120	B121	B122	B123	B124	B125	B126	B127	B128	B129	B130	B131	B132	B133	B134	B135	B136	B137	B138	B139	B140	B141	B142	B143	B144	B145	B146	B147	B148	B149	B150	B151	B152	B153	B154	B155	B156	B157	B158	B159	B160	B161	B162	B163	B164	B165	B166	B167	B168	B169	B170	B171	B172	B173	B174	B175	B176
A1CF	1.528043396	1.356802328	0	1.052890429	1.339543057	1.19782005	0.797379506	0.944290295	1.364041949	4.700375867	0	4.282092378	1.547484282	0	1.04216853	1.137929761	1.440263055	0.885090093	1.005655094	1.361327374	1.801173656	0.675854159	0	0	0.921993758	5.605704545	0.338371699	2.002017005	3.445014601	0	0	0	0	0	0	0	19.50008441	0	0	0	0	1.609442972	0	1.450868701	0	0.43715769	0	1.937271623	2.196392943	0	0	0	8.676150469	0	0	0	0.232043994	0	0	0	0	0.924902109	1.812053287	0.322332615	0	0.682803147	0.622598788	0.594614967	1.44122543	0.835157081	0.790413152	0.965198405	0.714074776	1.205833288	1.452369775	0.515178176	0.72225637	0.558319553	0.851033447	0.947568045	3.036615062	2.273583808	0.644522744	1.673660483	0	0	0.514325915	1.156163137	1.536977807	1.038763651	0.321595943	1.927694535	2.183577277	1.831919823	0.621004624	0.963289902	2.161928748	0.898969592	0.571184298	0.737632127	0.379673473	0.491372535	0.52190721	0.886390494	1.137839792	0	0.699511571	1.266320563	0.279103222	1.936663407	0.839604654	0.944904552	0	0.946948952	1.621932349	0.717105444	1.351590304	0	0	0	6.878686251	0.258813766	0	3.254139194	0.712201437	0	1.95660344	0.713654124	1.09199597	0	1.705580075	1.879550815	2.309651937	0.354490292	0.633023008	0	1.700014016	0.801519646	1.44173	0	0.734363825	0	1.301449842	15.78920453	12.63437259	4.681499028	0.889293093	0.883478971	0	1.180835774	1.71941643	1.578056966	0	0	1.445312866	1.511187522	1.022831162	3.363870548	0	2.203409482	1.461051528	0	2.109003105	0	0	0	0.916671029	0.721833534	2.33885692	0	1.095791598	0	0	1.801919204	1.939082896	2.060290098
AARS	1.299878558	0.865435841	0.217151532	1.274046689	0.798312311	1.503116252	0.572315331	1.030157079	0.773724911	1.993976372	1.706595412	0.032710873	0.771361825	0	1.153914908	1.875703512	0.719578326	1.008685904	0.669174514	0.145692637	0.544095746	0.841499214	1.899054601	0.864912602	4.529474717	0	2.27237973	0.583317819	2.255386682	4.259168452	0	0	4.478532517	2.283199957	0	0	0	0	3.132489765	0	1.908526529	1.408727042	0	0.429428377	11.99548617	2.076598798	0.984663513	0	1.273718695	0	3.307569855	3.075466953	2.953228837	3.921219969	0	1.331862002	0.688251283	0	1.45511845	1.695690399	0	0.846907443	0.636194635	0.875245501	0.47536941	0	0.51629329	0.692065773	0.777379952	1.36495533	0.882317152	0.238464108	1.291354706	1.309573449	0.837026445	0.957032265	0.610035126	0.71618829	0.876380557	1.130833563	0.819671881	0.443849624	1.174423588	1.155420823	0.593161833	0.552160404	1.333232684	0.998595854	1.036952103	0.266724172	0.294669661	0.827722892	0.312585916	1.230561087	0.360327225	1.450845303	2.440199405	0.753417556	0.777884445	0.557333431	0.859198077	0.418730515	1.416951654	0.436809076	1.422889979	2.024867914	0.610164791	0.674341553	0.500245774	0.869609669	0.994136338	0.565224788	0	0	0.492183695	0.956885126	1.175140264	1.220889081	1.879826755	0	0	0.555624708	1.186245862	0.975712743	1.299440347	0	0.581481142	1.483204864	0.989790208	1.305579272	2.301302861	0.910463417	1.920004796	1.738924327	1.414770052	0	0.520144366	1.430800041	1.172516347	0	0.436280073	0	0	0	0	0.681373378	1.115625887	1.162670681	0.419259648	2.409983443	1.721731272	1.264164539	2.533870291	1.692030166	0.912023525	1.726329056	1.197976524	1.303329192	1.338603947	1.692893352	3.504064286	0	4.961306439	0	0	2.84225191	1.117163833	1.559714342	0.444608797	0.631296167	0.554964296	0	0	0.790114721	0.983754828	1.970225472
ABCD3	0	0.567334026	0.000307896	1.705042698	2.173186149	0.764703354	0.584985578	1.037628984	1.64697539	0.76395454	2.585623102	0	0.925873064	0.434113695	0.305700886	1.420164726	0.394457878	2.136241599	0.358564606	0.589610852	0.768640392	0.52460378	0	1.055439777	9.749519021	0	0.317917351	0.971845819	0	0	0	0	0	0	0	0	0	0	5.199626042	0	0	0	6.555034978	4.270746189	0.433584662	0	11.43582238	0	0	0	0	0	3.26631066	0	0	2.13711867	0.469007826	0	0	0	8.384046062	0.863545233	0.374416101	1.353869901	2.971621829	3.937373374	0.939846345	1.669664416	0.858788626	0.971440798	2.155295081	0.975918668	1.04466892	0.437889159	0	1.809884711	1.016905614	0.870343441	1.008631656	0.374336526	0.232741533	0.796811464	0.432459327	1.154065814	0	0.781696999	0.728388029	0.922039699	0.780525834	0.547953878	0	0.860367439	3.766757321	0	1.078612326	1.032522212	2.189387485	0.338032739	0.663366006	0.435138365	0.420937887	2.700826351	7.083528894	0	3.251747381	3.941937694	0.762712255	1.194340977	0.390164439	0.866175843	0.857632499	0.951627126	5.599290225	0	0.509617612	1.678324099	2.008787194	4.24880305	0	0	1.868751903	2.055485707	0.65738491	6.53155337	0	5.224458891	0.790529352	0.527461796	1.979452272	2.846125833	0.977091341	0.714985585	0	0.473802463	1.714135182	0	0.917302473	3.962613132	1.25440471	0	2.246949371	0	3.814275524	0	7.390949683	4.879497219	1.593285344	1.179209972	0.41988849	0	0	0.53980916	0	2.892932471	0.97209996	0	0	0	0	0	0.744472876	0	0	0	4.292258027	2.52474552	1.011592503	1.773978053	3.874640302	5.05518144	1.619048524	0	0	1.682793395	0.759379232	0.811564211
ABCF3	0.468010427	0.85697036	0.142341574	0.392332926	4.007815614	0.995633052	0.575153104	0.653839699	0.7159102	2.717116859	0	1.221647733	0.997250028	2.464894902	0.541701436	1.726011855	1.426086618	1.897148302	0.508846215	2.018597927	1.608912102	0.824200138	1.071085075	2.632650269	3.574721561	0	1.056077159	1.154226318	0	0	0	0	0	1.498424075	1.861406177	1.057506024	0	0	6.177714189	0	0	1.870647437	5.192575032	0.836400097	0.467872527	2.029870456	0	4.340923887	0	0	0	0	0	0	1.529629301	0	0.268775193	0	0	0	0	0.704145953	0.986848356	0.897148766	0.929964961	0.82582029	0.50883321	1.031568383	0.365343377	2.298710226	5.60787149	0.706496647	2.232361667	2.136601051	4.209515212	0.846567515	0.536504864	0.509834672	1.5099404	0.884932194	0	1.77836441	1.131391023	0.938256642	1.807539187	0	1.137765996	1.773566976	0.710274107	0.499865241	2.597233018	2.393790814	0	0	0.563590397	1.174309928	2.942109262	0.572051051	0.946037804	0.619733567	1.186607155	0	0.910342637	0	0	0.64415747	0.481463052	0.420178891	0.661759247	0	0.985773483	1.090604121	0	0	0.259683441	0.541880269	0.584953109	18.21581489	0	0	0	0.8345633	0	0	2.508038524	0	0.546449127	0.201500654	9.629965192	4.049390787	0.363431245	0.416871449	1.592505801	1.664642184	1.335801231	0	0	2.633988489	0.835672179	0	0.855235521	0	0	2.982830484	0	1.329279995	2.264955653	0.762959531	0.953821001	0.486047662	3.931667917	0.658325063	1.204704936	2.894369474	0.660207446	0.846705748	0	0	0	0	0	0	0	4.148027455	0	2.754779418	0	0.485073952	0	1.383731626	0	9.374194652	5.039094901	0.70653362	0	2.089591501
ABCG5	1.106888454	1.336588323	0.944206723	0.811986995	1.933312974	0.605204633	0.994272139	0.399057892	0.573762635	0.764102685	1.087028989	1.303303724	0.756738323	0.101461819	0.677411029	1.495772687	0.787400545	1.32969134	2.08684639	1.795535659	1.426044043	0.862574328	0.896550301	0.817948933	0.805309613	0	0.489727205	1.077292903	0.291472376	0.61948712	0	2.202325354	0	0.927202767	0.545419211	0.468191858	0	0	10.05339393	1.588269979	0.83492487	0.62267073	0.852447483	1.534978744	0.540211857	0.607800749	0.376616203	0.317320315	2.234304947	0	0.957524524	0.70743915	1.176618349	2.497945732	1.39999506	1.013769685	0.80675728	0.521651562	2.906863492	3.112514076	7.004384684	0.984497046	0.951445105	0.830275133	1.18769942	0.584980685	1.099501831	1.062895154	0.723062087	0.976483524	1.925357446	0.288143457	1.952308632	1.579558426	1.327455076	1.173835765	0.812576564	0.724142449	0.575731277	0.454583457	0.631536022	0.540202388	0.710756897	0.747347206	1.646357891	0.65423805	0.746258239	0.731663909	0.552076531	0.602258612	1.396767812	0.633631848	0.405892258	1.656888819	1.935627966	2.879946291	0.51538131	0.870271703	1.45128684	1.99151427	9.287614769	0.500565374	2.08832271	0.673329789	0	0.297153521	0.912720126	1.039868253	0.639071207	0.355546034	0.72534692	0.964347451	0.666845582	0.727458395	0.608009092	0.920966453	1.200144516	0	0	0.840751599	1.147421586	1.134486208	0.352668391	1.121644201	0.258938213	0	1.259892901	0.788306641	3.248899136	0.659132316	0.898397889	0.928808502	0.838618059	2.636241059	0.530174784	2.630314729	0.949977818	1.460586086	1.850939084	0	0.581935663	0.402993401	0	0	1.357152402	0.693876892	1.116283587	1.11589042	0.906213489	0.94656703	1.209088764	0.637331186	0.585102126	0	0.938454239	0.383101728	0	0.194041068	0.410821399	0.527902107	0.251240452	0	0	0	0	0.637293967	0.983561055	1.274605941	1.316985996	0	1.580930865	0	0	1.063918268	1.530555377	0.350538986
ABHD6	9.432952365	2.423616754	0	1.381015213	0.763752649	0.331336148	1.476144851	0.456949233	0.238285842	0.666443411	0	0	1.050967446	0	0.77342487	0.517485953	0.3563498	0.973300796	0.468945255	0.513841259	0.565145286	0.248674866	0.282397343	0	2.75558038	0	0.716953299	0.709889282	0	0	0	0	0	0	0	0	0	0	0	1.866711697	0	1.333256328	0	0	0.288002093	0.623714947	0	0	1.555933852	0	0	0	1.198857269	0	0	1.0237532	0	0	0	2.473395726	0	0.349730485	0.26281293	0.710141833	0	0.978685856	0.386881924	0.361189457	1.240354439	0.680264742	0.349396506	0.4519579	1.063485987	0.734681463	0.285372575	0.907792444	0.948370452	0.907440496	0.401010976	0.656491841	0.494471227	0	0.108506665	0.43961396	0	0.369379983	0.714188049	0.69901033	1.04815065	0.096117251	0.760520489	0	0	0.959318047	0	1.4130318	0.886697678	0.552782907	0.342880682	0.576860597	2.546599999	0.57565881	14.62206234	2.420595696	6.757529682	14.62517426	2.722261791	1.592842121	0.627156639	1.219718046	0	0	1.61698671	5.35996889	0.574250754	0.052237248	2.37703875	1.462862979	2.178211286	0	4.780895158	1.622516286	0	0	0	7.70693941	0.558566239	0.380297947	0.785592077	0.393086056	0	0.198679479	1.18313972	0.358864418	0.850157199	3.66984217	0	1.18634663	0.613721879	0	2.674079445	0	0	0	0	0	0.416693145	1.56236638	0.291849639	0	0.815484522	0.373300046	0.740105305	0	0.431519541	0	0.723983663	0	0	1.00657363	0.518191095	0	0	1.278011281	0	0.847312444	1.399050278	1.05838088	0.496505389	0	0.50539607	0	0	0	0.54802217	1.372383878
ABI1	0.545995463	1.046114952	0.123336396	0	2.373188087	0.566735776	0.645061899	1.369823877	0.964226532	0	0	0	0	0	1.275347144	0.775947827	0	0	0	0	0	1.810236392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.179731017	0	0	0	11.83589412	0	0	0	0	0	0	0	0	0	0	0	0	1.45477304	0.682592025	0	9.611546553	0	1.150582889	1.078252603	0.602226668	0	0	0	2.861297726	4.500580603	0	0.64802938	0	1.679242631	0.983443278	2.014881059	0	0	1.06191273	0.690191639	0	0	0	1.788297934	1.080911808	1.555396158	3.625171171	1.691819289	0	0	0	5.206075919	0	0.364190313	0.456943703	1.420133035	0	0	0	0	0	2.915999977	0	0.694861449	13.58516092	0	0	16.9118726	0	0	1.053255179	0	0	0	0	0	0	0.696974842	0	0	0	0	3.172942634	0	6.13718585	0	0	1.995167753	0	0	0	18.95179921	0	4.312935898	1.559060473	0	36.22019262	0	0	0	38.44064278	0	0.778442329	0.869050885	2.210702317	0	0	0	5.591037915	0	0	0	0	0	0	0	0	0	0	0	0	0	5.160592488	0	0	0	0	0	0	0	0	1.199400401
ABL1	0.574194058	0.744511395	0.883560691	0.665520281	0.580104429	0.595408199	0.783614522	0.82180443	0.64615688	0.510594451	0.88464757	1.690795397	0.536331804	3.294247001	0.974341866	0.805725527	0.769868865	0.614339168	0.639261172	1.174470103	0.496168667	1.037430075	0.418572189	0.537212694	0.444900829	1.625295399	0.786091594	0.561287418	0.32196751	0.680287121	0	4.859001938	0	1.249611252	0.598663803	0.342887764	0	0	0	0	0.410454164	0.14959776	1.687654288	0.60602033	0.1802935	0.673727979	0.556404585	0	0.818554822	0.403700802	0.524606008	0	0.315161872	0	1.384033337	0.716987249	0.426132107	3.812356755	1.272216584	0.157652222	0	1.070394189	1.50834618	1.355247295	0.334471461	0.480767967	1.216610217	1.299415343	0.8388129	0.626341578	0.571143569	0.684334839	1.084907354	4.231007076	1.674148583	0.706548507	0.915619444	0.549895874	0.618901231	0.709262401	0.819500325	0.305188632	0.795570248	0.494170533	0.310381539	1.307564977	0.745647583	0.737027433	0.572416328	0.944475765	1.144357208	1.751511465	1.762449408	0	1.345486412	1.065667772	1.304206376	1.268195475	1.345472157	0.62650389	0.585659378	0	0.715835268	0.146118321	0	0.489540348	1.016129776	0.951887763	1.196002796	0.745621791	0.310913632	0	0.859326895	0.176662152	0.581428199	0.380612694	0.183499341	1.930358032	0.588326954	0	0.817349387	0.788605809	9.456498506	1.072137836	1.965578973	2.746725567	0.677686088	1.193232497	0.579604535	0.47736286	0.992356949	1.084778603	0.576670166	30.15037577	0.110869874	0.174541407	0.482391547	1.01749932	1.350105733	0.647861304	0.694055672	0.475197088	0.690788742	0	0	1.316961903	0.538409139	0.90260749	1.089430899	1.77217321	1.129464327	1.477175556	0	0.852311512	0.722242953	0.491089807	0.566972737	0.218028302	0	0.997032057	0.978973612	0	0	0	0	2.046687127	1.152502073	1.36128814	0.028483422	1.664634077	0.29928946	0	0.873972796	1.738274013	1.343114366	0.108973734
ABLIM1	0.506561083	0.219567989	0	1.709912079	1.4730775	0.931091148	0.821682276	1.675172514	1.210403893	0.586882891	2.033770999	0.950402635	0.99451859	0.524913185	0.302905634	2.243579627	0.600731554	0.686924246	0.572100233	1.238032407	1.369071579	0.55866724	0.338550108	1.536266253	14.04352484	0	0.5737936	1.698726633	0	0	0	0	3.246349308	0	1.359341053	2.48942941	0	0	0	0	0	0.678997203	0	1.230167825	0	0.368891987	14.43660438	0	0	0	2.365259464	4.414407839	0	5.561361613	0	0	1.619794957	0	2.126691783	0	0	0.608683522	0.836067225	0.776679303	0	0	0.834330916	0.791854371	0.84056444	1.003186365	0.620208382	0	1.174080297	0.628578612	1.082162526	0.205696823	0.846956733	0.857033616	0.550952706	1.47532421	0.771102283	1.650483406	0.760339109	0.924516269	0	0.838037731	0.816917521	0.585284917	0.202908835	0.73575891	0.912166893	0.324658728	0	0	0.861559693	1.175732264	1.087866376	0.798132255	1.000550333	0.953691239	0	0.861409439	2.170220243	1.214543512	1.430003473	2.237539544	0.551569522	1.547558891	1.463893092	5.201893846	0.722031732	0.77110113	0	1.195158039	1.12124487	0.924381693	0	0	0	0	0	1.355724261	0.573477756	1.417787866	0.620210976	9.103754995	0.694082836	0.605054405	0.960556841	1.445682347	1.08889613	1.455816706	1.087236759	2.866118949	0.668179449	0	1.561246134	1.990301154	1.22162371	0	0.625124013	1.075478014	0	0	6.059036548	0	0.606993988	0.670317316	1.421285395	0.521309901	2.480457353	2.290668798	0	2.41949917	1.238476569	3.151650155	5.327788458	0	0	2.469602864	1.304778109	1.383822898	7.229674874	11.0072074	0	0	0.828407662	0.60927462	0.732763553	0	0.985858939	0	0	2.191267267	1.218231555	1.005834054
ABLIM3	0.064416523	0.780421444	0.135631934	1.250824171	1.102589755	0.68933929	0.601180319	4.256708673	0.234972005	1.624817399	0	0	0	0	0.096688827	0.887218422	0.123453328	12.51928914	0.346601607	1.237130353	0.510041712	1.087165804	0.50156201	0.448425545	0	0	1.279383501	0	0	0	0	0	4.766988867	0	1.988178722	2.733429297	0	10.32245379	0	0	5.723654438	0	0	0	0.786495468	0.608334314	0.926162783	2.3351619	0	0	0	0	2.104055612	0	1.6487509	1.801945176	0.306104454	0	2.358304722	0	0	3.112647949	0	0.830053204	1.01548736	0.869874728	0.133371301	0.631915111	0.258659168	0.201267807	0.927615614	0	0.665122398	0.361496393	0.433051809	0.149940301	0.38637272	0.532390231	0.239295879	0	1.821463605	0.470775143	0.387445546	0.813240172	0	0	0.992028317	0.208298104	0.254506141	0.709448964	0	0.440860804	0	0	0.679884589	0	0	0	0.591859067	0.487324679	2.336703936	0.526425268	0	15.78420189	0	0	0.369378207	0.324243526	0.35292088	0	0	0	0	0	0.223776157	0.572827591	0	0	3.914438259	2.087981921	0	0.322857247	0	2.167673317	5.078695172	0	0.724909732	0.218785066	0.772385954	0	0.580099469	1.36562531	1.189530721	20.27676948	0.650567363	0	0	0	0	0	1.850851485	1.588468	0	0	0	0	0.362461742	4.088095476	0.513720158	0.515635579	0.718829954	3.338984646	0	0	0.715082396	0.920960074	2.583182609	1.401583214	0	0	3.188172454	0	2.642270755	0	0	0	0	0.889921251	0.964395544	0	0.447158281	0	0	0	0	3.333912498
